year,month,day,sales_date_std,order_id,customer_name,product_name,category,price,quantity,total,shipping_fee,total_sales,status,shipping_address,kota
2025,7,3,45841,ORD00014,Customer_3413,Kursi,Ruang Makan,650000,1,650000,60000,710000,completed,Kelurahan 196 Jakarta Selatan,Jakarta Selatan
2025,3,5,45721,ORD00015,Customer_1211,Kasur,Kamar Tidur,5500000,2,11000000,60000,11060000,completed,Kelurahan 7 Jakarta Selatan,Jakarta Selatan
2025,2,17,45705,ORD00016,Customer_1758,Meja Rias,Kamar Tidur,1750000,3,5250000,50000,5300000,cancelled,Kelurahan 15 Bekasi,Bekasi
2025,6,5,45813,ORD00017,Customer_1932,Kursi Bar,Ruang Makan,1295000,2,2590000,50000,2640000,completed,Kelurahan 89 Bekasi,Bekasi
2025,8,2,45871,ORD00018,Customer_2948,Kitchen Set,Dapur,9500000,2,19000000,60000,19060000,completed,Kelurahan 23 Jakarta Selatan,Jakarta Selatan
2025,8,31,45900,ORD00019,Customer_2621,Meja Makan,Ruang Makan,3200000,2,6400000,50000,6450000,completed,Kelurahan 127 Bogor,Bogor
2025,7,14,45852,ORD00020,Customer_3314,Lemari Sliding,Kamar Tidur,4750000,3,14250000,60000,14310000,completed,Kelurahan 61 Jakarta Pusat,Jakarta Pusat
2025,12,1,45992,ORD00021,Customer_1105,Lemari Baju,Kamar Tidur,3500000,3,10500000,60000,10560000,completed,Kelurahan 45 Jakarta Barat,Jakarta Barat
2025,4,17,45764,ORD00022,Customer_1600,Lemari Sudut,Ruang Tamu,2750000,1,2750000,60000,2810000,cancelled,Kelurahan 20 Tangerang,Tangerang
2025,10,2,45932,ORD00023,Customer_3413,Meja,Ruang Kerja,1250000,1,1250000,60000,1310000,completed,Kelurahan 57 Jakarta Utara,Jakarta Utara
2025,8,27,45896,ORD00024,Customer_1625,Meja Kopi,Ruang Tamu,1800000,1,1800000,60000,1860000,completed,Kelurahan 32 Tangerang Selatan,Tangerang Selatan
2025,10,7,45937,ORD00025,Customer_960,Lemari TV,Ruang Tamu,2300000,2,4600000,60000,4660000,completed,Kelurahan 125 Jakarta Barat,Jakarta Barat
2025,7,30,45868,ORD00026,Customer_2597,Kasur,Kamar Tidur,5500000,2,11000000,50000,11050000,completed,Kelurahan 188 Bogor,Bogor
2025,9,27,45927,ORD00027,Customer_1886,Meja Makan,Ruang Makan,3200000,1,3200000,60000,3260000,completed,Kelurahan 54 Jakarta Utara,Jakarta Utara
2025,12,12,46003,ORD00028,Customer_2282,Rak Sepatu,Penyimpanan,650000,2,1170000,60000,1230000,completed,Kelurahan 44 Jakarta Selatan,Jakarta Selatan
2025,6,4,45812,ORD00029,Customer_712,Lemari Dapur,Dapur,1850000,1,1850000,60000,1910000,completed,Kelurahan 94 Jakarta Timur,Jakarta Timur
2025,10,27,45957,ORD00030,Customer_479,Lemari Baju,Kamar Tidur,3500000,3,10500000,60000,10560000,completed,Kelurahan 41 Jakarta Selatan,Jakarta Selatan
2025,1,28,45685,ORD00031,Customer_2668,Lemari Sudut,Ruang Tamu,2750000,2,5500000,60000,5560000,completed,Kelurahan 114 Jakarta Timur,Jakarta Timur
2025,1,6,45663,ORD00032,Customer_3237,Meja Rias,Kamar Tidur,1750000,2,3500000,60000,3560000,cancelled,Kelurahan 197 Jakarta Utara,Jakarta Utara
2025,12,21,46012,ORD00033,Customer_3459,Lemari Sliding,Kamar Tidur,4750000,1,4750000,50000,4800000,completed,Kelurahan 9 Bogor,Bogor
2025,6,13,45821,ORD00034,Customer_471,Kitchen Set,Dapur,9500000,3,28500000,60000,28560000,completed,Kelurahan 51 Jakarta Pusat,Jakarta Pusat
2025,2,20,45708,ORD00035,Customer_245,Meja Makan,Ruang Makan,3200000,1,3200000,50000,3250000,completed,Kelurahan 11 Bogor,Bogor
2025,1,1,45658,ORD00036,Customer_1985,Lemari Baju,Kamar Tidur,3500000,2,6300000,60000,6360000,completed,Kelurahan 90 Tangerang Selatan,Tangerang Selatan
2025,3,16,45732,ORD00037,Customer_2669,Rak Sepatu,Penyimpanan,650000,2,1300000,50000,1350000,refund,Kelurahan 123 Depok,Depok
2025,3,7,45723,ORD00038,Customer_3054,Lemari Baju,Kamar Tidur,3500000,2,7000000,60000,7060000,completed,Kelurahan 9 Jakarta Selatan,Jakarta Selatan
2025,1,10,45667,ORD00039,Customer_1707,Lemari Dapur,Dapur,1850000,2,3700000,60000,3760000,completed,Kelurahan 139 Jakarta Barat,Jakarta Barat
2025,4,2,45749,ORD00040,Customer_2820,Rak Buku,Penyimpanan,1100000,3,3300000,60000,3360000,completed,Kelurahan 94 Jakarta Pusat,Jakarta Pusat
2025,5,31,45808,ORD00041,Customer_2660,Lemari Sliding,Kamar Tidur,4750000,1,4750000,50000,4800000,completed,Kelurahan 66 Depok,Depok
2025,10,24,45954,ORD00042,Customer_2398,Rak Buku,Penyimpanan,1100000,2,2200000,60000,2260000,completed,Kelurahan 115 Jakarta Selatan,Jakarta Selatan
2025,10,10,45940,ORD00043,Customer_59,Lemari Sliding,Kamar Tidur,4750000,3,12825000,60000,12885000,completed,Kelurahan 9 Jakarta Pusat,Jakarta Pusat
2025,2,5,45693,ORD00044,Customer_2206,Bufet,Ruang Tamu,3250000,2,6500000,60000,6560000,completed,Kelurahan 83 Jakarta Pusat,Jakarta Pusat
2025,10,10,45940,ORD00045,Customer_3025,Lemari Laci,Kamar Tidur,1950000,3,5265000,60000,5325000,completed,Kelurahan 102 Jakarta Selatan,Jakarta Selatan
2025,8,6,45875,ORD00046,Customer_321,Lemari Baju,Kamar Tidur,3500000,3,10500000,60000,10560000,completed,Kelurahan 115 Jakarta Selatan,Jakarta Selatan
2025,3,20,45736,ORD00047,Customer_3391,Bufet,Ruang Tamu,3250000,3,9750000,60000,9810000,completed,Kelurahan 37 Jakarta Utara,Jakarta Utara
2025,9,7,45907,ORD00048,Customer_3475,Rak Meja,Ruang Kerja,750000,3,2250000,50000,2300000,completed,Kelurahan 47 Bogor,Bogor
2025,6,10,45818,ORD00049,Customer_405,Meja Makan,Ruang Makan,3200000,3,9600000,60000,9660000,completed,Kelurahan 147 Tangerang,Tangerang
2025,5,16,45793,ORD00050,Customer_2853,Lemari Dapur,Dapur,1850000,3,5550000,60000,5610000,completed,Kelurahan 117 Jakarta Pusat,Jakarta Pusat
2025,6,8,45816,ORD00051,Customer_290,Lemari TV,Ruang Tamu,2300000,1,2300000,60000,2360000,completed,Kelurahan 186 Jakarta Selatan,Jakarta Selatan
2025,9,8,45908,ORD00052,Customer_2048,Nakas,Kamar Tidur,1000000,3,3000000,50000,3050000,refund,Kelurahan 80 Depok,Depok
2025,9,17,45917,ORD00053,Customer_2212,Meja Kopi,Ruang Tamu,1800000,2,3600000,60000,3660000,completed,Kelurahan 22 Jakarta Utara,Jakarta Utara
2025,9,22,45922,ORD00054,Customer_2322,Nakas,Kamar Tidur,1000000,1,1000000,50000,1050000,completed,Kelurahan 178 Depok,Depok
2025,4,30,45777,ORD00055,Customer_358,Kursi Bar,Ruang Makan,1295000,1,1295000,60000,1355000,refund,Kelurahan 172 Jakarta Utara,Jakarta Utara
2025,6,16,45824,ORD00056,Customer_2236,Lemari Laci,Kamar Tidur,1950000,3,5850000,60000,5910000,completed,Kelurahan 86 Jakarta Pusat,Jakarta Pusat
2025,4,4,45751,ORD00057,Customer_841,Lemari Laci,Kamar Tidur,1950000,1,1755000,60000,1815000,completed,Kelurahan 152 Tangerang,Tangerang
2025,5,27,45804,ORD00058,Customer_3277,Nakas,Kamar Tidur,1000000,1,1000000,50000,1050000,completed,Kelurahan 39 Bogor,Bogor
2025,1,29,45686,ORD00059,Customer_3182,Lemari Sliding,Kamar Tidur,4750000,1,4750000,50000,4800000,completed,Kelurahan 171 Bekasi,Bekasi
2025,7,13,45851,ORD00060,Customer_1810,Kitchen Set,Dapur,9500000,2,19000000,60000,19060000,completed,Kelurahan 22 Jakarta Barat,Jakarta Barat
2025,5,17,45794,ORD00061,Customer_979,Meja Kopi,Ruang Tamu,1800000,2,3600000,50000,3650000,completed,Kelurahan 24 Bekasi,Bekasi
2025,9,29,45929,ORD00062,Customer_1408,Meja Kopi,Ruang Tamu,1800000,1,1800000,50000,1850000,completed,Kelurahan 134 Bekasi,Bekasi
2025,10,5,45935,ORD00063,Customer_2399,Lemari Laci,Kamar Tidur,1950000,3,5850000,60000,5910000,completed,Kelurahan 170 Tangerang Selatan,Tangerang Selatan
2025,7,24,45862,ORD00064,Customer_2287,Rak Meja,Ruang Kerja,750000,2,1500000,60000,1560000,completed,Kelurahan 182 Jakarta Utara,Jakarta Utara
2025,6,16,45824,ORD00065,Customer_289,Meja Kopi,Ruang Tamu,1800000,2,3600000,60000,3660000,completed,Kelurahan 148 Tangerang,Tangerang
2025,1,19,45676,ORD00066,Customer_1426,Lemari Baju,Kamar Tidur,3500000,2,7000000,60000,7060000,completed,Kelurahan 199 Tangerang,Tangerang
2025,1,30,45687,ORD00067,Customer_2436,Lemari Sliding,Kamar Tidur,4750000,3,14250000,50000,14300000,completed,Kelurahan 92 Depok,Depok
2025,2,27,45715,ORD00068,Customer_2937,Meja,Ruang Kerja,1250000,3,3750000,50000,3800000,completed,Kelurahan 115 Bogor,Bogor
2025,5,6,45783,ORD00069,Customer_3259,Rak Buku,Penyimpanan,1100000,1,1100000,60000,1160000,completed,Kelurahan 106 Jakarta Utara,Jakarta Utara
2025,10,17,45947,ORD00070,Customer_263,Lemari Dapur,Dapur,1850000,2,3700000,60000,3760000,completed,Kelurahan 20 Jakarta Utara,Jakarta Utara
2025,9,12,45912,ORD00071,Customer_2762,Meja Kopi,Ruang Tamu,1800000,3,5400000,50000,5450000,completed,Kelurahan 168 Bekasi,Bekasi
2025,10,1,45931,ORD00072,Customer_1739,Lemari Sliding,Kamar Tidur,4750000,2,9500000,50000,9550000,completed,Kelurahan 78 Depok,Depok
2025,7,13,45851,ORD00073,Customer_1694,Lemari Laci,Kamar Tidur,1950000,2,3900000,60000,3960000,completed,Kelurahan 159 Jakarta Selatan,Jakarta Selatan
2025,3,13,45729,ORD00074,Customer_2539,Lemari Sudut,Ruang Tamu,2750000,1,2750000,60000,2810000,completed,Kelurahan 58 Jakarta Barat,Jakarta Barat
2025,11,10,45971,ORD00075,Customer_3201,Meja,Ruang Kerja,1250000,3,3750000,50000,3800000,completed,Kelurahan 15 Bekasi,Bekasi
2025,7,12,45850,ORD00076,Customer_1319,Lemari TV,Ruang Tamu,2300000,1,2300000,60000,2360000,completed,Kelurahan 29 Tangerang,Tangerang
2025,9,12,45912,ORD00077,Customer_1902,Rak Buku,Penyimpanan,1100000,1,1100000,50000,1150000,completed,Kelurahan 148 Depok,Depok
2025,9,25,45925,ORD00078,Customer_747,Lemari Sudut,Ruang Tamu,2750000,3,8250000,60000,8310000,completed,Kelurahan 90 Jakarta Timur,Jakarta Timur
2025,11,4,45965,ORD00079,Customer_1606,Meja Rias,Kamar Tidur,1750000,3,5250000,60000,5310000,completed,Kelurahan 69 Jakarta Utara,Jakarta Utara
2025,1,7,45664,ORD00080,Customer_427,Rak Buku,Penyimpanan,1100000,2,2200000,50000,2250000,refund,Kelurahan 88 Bogor,Bogor
2025,10,25,45955,ORD00081,Customer_3323,Sofa,Ruang Tamu,4500000,2,9000000,50000,9050000,completed,Kelurahan 162 Bogor,Bogor
2025,1,13,45670,ORD00082,Customer_3329,Rak Meja,Ruang Kerja,750000,3,2250000,60000,2310000,completed,Kelurahan 64 Jakarta Selatan,Jakarta Selatan
2025,7,23,45861,ORD00083,Customer_1300,Meja Kopi,Ruang Tamu,1800000,2,3600000,60000,3660000,completed,Kelurahan 136 Jakarta Utara,Jakarta Utara
2025,10,29,45959,ORD00084,Customer_2537,Meja Kopi,Ruang Tamu,1800000,1,1800000,60000,1860000,completed,Kelurahan 42 Jakarta Utara,Jakarta Utara
2025,2,19,45707,ORD00085,Customer_2114,Kitchen Set,Dapur,9500000,1,9500000,50000,9550000,completed,Kelurahan 161 Bogor,Bogor
2025,11,18,45979,ORD00086,Customer_225,Meja,Ruang Kerja,1250000,1,1250000,60000,1310000,completed,Kelurahan 79 Tangerang Selatan,Tangerang Selatan
2025,12,19,46010,ORD00087,Customer_3283,Meja Rias,Kamar Tidur,1750000,1,1750000,50000,1800000,completed,Kelurahan 14 Depok,Depok
2025,10,11,45941,ORD00088,Customer_724,Meja Kopi,Ruang Tamu,1800000,2,3600000,60000,3660000,completed,Kelurahan 127 Jakarta Pusat,Jakarta Pusat
2025,1,15,45672,ORD00089,Customer_2909,Kursi,Ruang Makan,650000,3,1950000,60000,2010000,completed,Kelurahan 179 Jakarta Utara,Jakarta Utara
2025,1,26,45683,ORD00090,Customer_1090,Kasur,Kamar Tidur,5500000,2,11000000,60000,11060000,completed,Kelurahan 28 Jakarta Barat,Jakarta Barat
2025,9,17,45917,ORD00091,Customer_3384,Meja Kopi,Ruang Tamu,1800000,3,5400000,60000,5460000,completed,Kelurahan 1 Tangerang Selatan,Tangerang Selatan
2025,12,7,45998,ORD00092,Customer_906,Lemari Dapur,Dapur,1850000,1,1850000,60000,1910000,completed,Kelurahan 141 Jakarta Pusat,Jakarta Pusat
2025,10,10,45940,ORD00093,Customer_2557,Kursi,Ruang Makan,650000,3,1755000,60000,1815000,completed,Kelurahan 162 Jakarta Selatan,Jakarta Selatan
2025,6,20,45828,ORD00094,Customer_3328,Lemari Baju,Kamar Tidur,3500000,3,10500000,50000,10550000,completed,Kelurahan 91 Depok,Depok
2025,8,4,45873,ORD00095,Customer_2144,Lemari Sliding,Kamar Tidur,4750000,3,14250000,60000,14310000,completed,Kelurahan 54 Jakarta Pusat,Jakarta Pusat
2025,3,28,45744,ORD00096,Customer_651,Kursi,Ruang Makan,650000,3,1950000,60000,2010000,completed,Kelurahan 60 Jakarta Selatan,Jakarta Selatan
2025,12,9,46000,ORD00097,Customer_3285,Bufet,Ruang Tamu,3250000,1,3250000,60000,3310000,completed,Kelurahan 144 Jakarta Pusat,Jakarta Pusat
2025,5,21,45798,ORD00098,Customer_2832,Bufet,Ruang Tamu,3250000,2,6500000,50000,6550000,completed,Kelurahan 196 Bogor,Bogor
2025,9,4,45904,ORD00099,Customer_20,Rak Meja,Ruang Kerja,750000,2,1500000,50000,1550000,completed,Kelurahan 36 Bogor,Bogor
2025,6,6,45814,ORD00100,Customer_124,Nakas,Kamar Tidur,1000000,3,2700000,50000,2750000,completed,Kelurahan 197 Bogor,Bogor
2025,11,8,45969,ORD00101,Customer_2109,Lemari Laci,Kamar Tidur,1950000,2,3900000,50000,3950000,completed,Kelurahan 122 Depok,Depok
2025,4,1,45748,ORD00102,Customer_1190,Sofa,Ruang Tamu,4500000,3,13500000,60000,13560000,completed,Kelurahan 102 Jakarta Utara,Jakarta Utara
2025,7,10,45848,ORD00103,Customer_1648,Meja Rias,Kamar Tidur,1750000,1,1750000,60000,1810000,completed,Kelurahan 189 Tangerang,Tangerang
2025,7,28,45866,ORD00104,Customer_1096,Kitchen Set,Dapur,9500000,1,9500000,60000,9560000,completed,Kelurahan 5 Jakarta Barat,Jakarta Barat
2025,7,20,45858,ORD00105,Customer_891,Nakas,Kamar Tidur,1000000,3,3000000,60000,3060000,completed,Kelurahan 102 Jakarta Selatan,Jakarta Selatan
2025,12,18,46009,ORD00106,Customer_3343,Lemari Dapur,Dapur,1850000,3,5550000,60000,5610000,completed,Kelurahan 118 Jakarta Barat,Jakarta Barat
2025,1,10,45667,ORD00107,Customer_362,Kasur,Kamar Tidur,5500000,1,5500000,50000,5550000,completed,Kelurahan 3 Depok,Depok
2025,12,3,45994,ORD00108,Customer_2185,Lemari TV,Ruang Tamu,2300000,1,2300000,50000,2350000,cancelled,Kelurahan 124 Bekasi,Bekasi
2025,5,24,45801,ORD00109,Customer_1253,Meja Makan,Ruang Makan,3200000,3,9600000,60000,9660000,completed,Kelurahan 86 Jakarta Utara,Jakarta Utara
2025,8,10,45879,ORD00110,Customer_2456,Lemari TV,Ruang Tamu,2300000,2,4600000,60000,4660000,completed,Kelurahan 200 Tangerang Selatan,Tangerang Selatan
2025,10,24,45954,ORD00111,Customer_2869,Lemari Sliding,Kamar Tidur,4750000,3,14250000,60000,14310000,completed,Kelurahan 11 Tangerang,Tangerang
2025,3,25,45741,ORD00112,Customer_3339,Meja Kopi,Ruang Tamu,1800000,3,5400000,50000,5450000,completed,Kelurahan 71 Bekasi,Bekasi
2025,2,26,45714,ORD00113,Customer_1594,Kursi Bar,Ruang Makan,1295000,1,1295000,50000,1345000,completed,Kelurahan 125 Depok,Depok
2025,9,14,45914,ORD00114,Customer_667,Bufet,Ruang Tamu,3250000,2,6500000,60000,6560000,completed,Kelurahan 31 Jakarta Selatan,Jakarta Selatan
2025,8,1,45870,ORD00115,Customer_408,Kursi,Ruang Makan,650000,3,1950000,50000,2000000,completed,Kelurahan 81 Bekasi,Bekasi
2025,6,6,45814,ORD00116,Customer_3388,Kasur,Kamar Tidur,5500000,2,9900000,50000,9950000,completed,Kelurahan 164 Depok,Depok
2025,11,21,45982,ORD00117,Customer_2813,Rak Meja,Ruang Kerja,750000,2,1500000,60000,1560000,completed,Kelurahan 53 Jakarta Timur,Jakarta Timur
2025,11,7,45968,ORD00118,Customer_3259,Lemari Laci,Kamar Tidur,1950000,3,5850000,60000,5910000,completed,Kelurahan 40 Tangerang Selatan,Tangerang Selatan
2025,11,8,45969,ORD00119,Customer_930,Kursi Bar,Ruang Makan,1295000,3,3885000,60000,3945000,completed,Kelurahan 176 Jakarta Timur,Jakarta Timur
2025,8,6,45875,ORD00120,Customer_1226,Kasur,Kamar Tidur,5500000,2,11000000,60000,11060000,completed,Kelurahan 7 Tangerang Selatan,Tangerang Selatan
2025,7,29,45867,ORD00121,Customer_251,Lemari Sliding,Kamar Tidur,4750000,1,4750000,60000,4810000,completed,Kelurahan 82 Jakarta Utara,Jakarta Utara
2025,9,24,45924,ORD00122,Customer_612,Kursi,Ruang Makan,650000,1,650000,60000,710000,completed,Kelurahan 132 Tangerang Selatan,Tangerang Selatan
2025,8,22,45891,ORD00123,Customer_3026,Meja Rias,Kamar Tidur,1750000,1,1750000,60000,1810000,completed,Kelurahan 38 Jakarta Timur,Jakarta Timur
2025,8,3,45872,ORD00124,Customer_3402,Rak Sepatu,Penyimpanan,650000,1,650000,60000,710000,completed,Kelurahan 54 Jakarta Pusat,Jakarta Pusat
2025,4,15,45762,ORD00125,Customer_582,Bufet,Ruang Tamu,3250000,3,9750000,60000,9810000,refund,Kelurahan 159 Tangerang Selatan,Tangerang Selatan
2025,5,25,45802,ORD00126,Customer_1561,Meja Kopi,Ruang Tamu,1800000,2,3600000,50000,3650000,refund,Kelurahan 172 Bogor,Bogor
2025,6,15,45823,ORD00127,Customer_1033,Kursi Bar,Ruang Makan,1295000,1,1295000,60000,1355000,completed,Kelurahan 129 Jakarta Selatan,Jakarta Selatan
2025,10,18,45948,ORD00128,Customer_638,Meja,Ruang Kerja,1250000,1,1250000,60000,1310000,completed,Kelurahan 97 Tangerang Selatan,Tangerang Selatan
2025,3,27,45743,ORD00129,Customer_913,Sofa,Ruang Tamu,4500000,2,9000000,60000,9060000,completed,Kelurahan 63 Jakarta Pusat,Jakarta Pusat
2025,9,16,45916,ORD00130,Customer_1095,Meja,Ruang Kerja,1250000,1,1250000,60000,1310000,completed,Kelurahan 170 Jakarta Utara,Jakarta Utara
2025,8,20,45889,ORD00131,Customer_595,Bufet,Ruang Tamu,3250000,3,9750000,60000,9810000,completed,Kelurahan 102 Tangerang Selatan,Tangerang Selatan
2025,1,10,45667,ORD00132,Customer_1195,Lemari Dapur,Dapur,1850000,2,3700000,60000,3760000,completed,Kelurahan 67 Jakarta Utara,Jakarta Utara
2025,8,8,45877,ORD00133,Customer_2007,Kursi,Ruang Makan,650000,3,1755000,60000,1815000,completed,Kelurahan 12 Jakarta Barat,Jakarta Barat
2025,1,7,45664,ORD00134,Customer_569,Lemari Sudut,Ruang Tamu,2750000,1,2750000,60000,2810000,completed,Kelurahan 2 Jakarta Pusat,Jakarta Pusat
2025,3,17,45733,ORD00135,Customer_2111,Lemari Dapur,Dapur,1850000,2,3700000,50000,3750000,completed,Kelurahan 146 Bogor,Bogor
2025,7,9,45847,ORD00136,Customer_693,Meja,Ruang Kerja,1250000,3,3750000,50000,3800000,completed,Kelurahan 82 Bogor,Bogor
2025,6,12,45820,ORD00137,Customer_1923,Rak Buku,Penyimpanan,1100000,1,1100000,60000,1160000,completed,Kelurahan 82 Tangerang Selatan,Tangerang Selatan
2025,7,4,45842,ORD00138,Customer_2553,Sofa,Ruang Tamu,4500000,3,13500000,60000,13560000,completed,Kelurahan 152 Jakarta Utara,Jakarta Utara
2025,3,15,45731,ORD00139,Customer_3413,Meja,Ruang Kerja,1250000,2,2500000,60000,2560000,completed,Kelurahan 26 Jakarta Barat,Jakarta Barat
2025,2,9,45697,ORD00140,Customer_3450,Kursi Bar,Ruang Makan,1295000,2,2590000,60000,2650000,completed,Kelurahan 64 Tangerang,Tangerang
2025,12,21,46012,ORD00141,Customer_823,Kitchen Set,Dapur,9500000,3,28500000,60000,28560000,completed,Kelurahan 182 Jakarta Barat,Jakarta Barat
2025,10,8,45938,ORD00142,Customer_2443,Nakas,Kamar Tidur,1000000,2,2000000,60000,2060000,completed,Kelurahan 79 Tangerang Selatan,Tangerang Selatan
2025,4,30,45777,ORD00143,Customer_609,Kursi Bar,Ruang Makan,1295000,2,2590000,60000,2650000,completed,Kelurahan 136 Jakarta Barat,Jakarta Barat
2025,6,30,45838,ORD00144,Customer_2382,Lemari Sudut,Ruang Tamu,2750000,1,2750000,60000,2810000,completed,Kelurahan 127 Jakarta Timur,Jakarta Timur
2025,5,8,45785,ORD00145,Customer_777,Bufet,Ruang Tamu,3250000,3,9750000,50000,9800000,completed,Kelurahan 6 Bogor,Bogor
2025,10,13,45943,ORD00146,Customer_2465,Meja Makan,Ruang Makan,3200000,3,9600000,60000,9660000,completed,Kelurahan 88 Tangerang,Tangerang
2025,5,16,45793,ORD00147,Customer_1547,Sofa,Ruang Tamu,4500000,1,4500000,60000,4560000,completed,Kelurahan 38 Jakarta Timur,Jakarta Timur
2025,5,28,45805,ORD00148,Customer_3112,Kursi,Ruang Makan,650000,2,1300000,60000,1360000,completed,Kelurahan 63 Jakarta Selatan,Jakarta Selatan
2025,12,11,46002,ORD00149,Customer_1099,Rak Buku,Penyimpanan,1100000,2,2200000,60000,2260000,refund,Kelurahan 5 Tangerang Selatan,Tangerang Selatan
2025,7,16,45854,ORD00150,Customer_1271,Lemari Baju,Kamar Tidur,3500000,1,3500000,60000,3560000,completed,Kelurahan 86 Tangerang,Tangerang
2025,10,2,45932,ORD00151,Customer_2181,Kursi,Ruang Makan,650000,2,1300000,50000,1350000,completed,Kelurahan 157 Bogor,Bogor
2025,6,7,45815,ORD00152,Customer_2363,Nakas,Kamar Tidur,1000000,3,3000000,50000,3050000,cancelled,Kelurahan 80 Bekasi,Bekasi
2025,2,18,45706,ORD00153,Customer_547,Lemari Baju,Kamar Tidur,3500000,1,3500000,50000,3550000,completed,Kelurahan 128 Bogor,Bogor
2025,9,26,45926,ORD00154,Customer_885,Meja Kopi,Ruang Tamu,1800000,1,1800000,60000,1860000,completed,Kelurahan 164 Tangerang Selatan,Tangerang Selatan
2025,4,5,45752,ORD00155,Customer_2692,Meja Rias,Kamar Tidur,1750000,3,5250000,60000,5310000,completed,Kelurahan 91 Jakarta Utara,Jakarta Utara
2025,11,9,45970,ORD00156,Customer_2750,Lemari Baju,Kamar Tidur,3500000,2,7000000,60000,7060000,completed,Kelurahan 172 Jakarta Timur,Jakarta Timur
2025,8,4,45873,ORD00157,Customer_3399,Meja Rias,Kamar Tidur,1750000,2,3500000,50000,3550000,completed,Kelurahan 185 Depok,Depok
2025,6,19,45827,ORD00158,Customer_1757,Lemari Sudut,Ruang Tamu,2750000,3,8250000,60000,8310000,completed,Kelurahan 191 Tangerang Selatan,Tangerang Selatan
2025,12,30,46021,ORD00159,Customer_2057,Lemari Sliding,Kamar Tidur,4750000,2,9500000,50000,9550000,completed,Kelurahan 194 Bekasi,Bekasi
2025,12,28,46019,ORD00160,Customer_518,Bufet,Ruang Tamu,3250000,2,6500000,60000,6560000,completed,Kelurahan 46 Tangerang Selatan,Tangerang Selatan
2025,10,20,45950,ORD00161,Customer_2887,Meja,Ruang Kerja,1250000,3,3750000,60000,3810000,completed,Kelurahan 5 Jakarta Timur,Jakarta Timur
2025,12,5,45996,ORD00162,Customer_1654,Rak Sepatu,Penyimpanan,650000,1,650000,60000,710000,completed,Kelurahan 112 Jakarta Timur,Jakarta Timur
2025,2,25,45713,ORD00163,Customer_139,Lemari Laci,Kamar Tidur,1950000,2,3900000,60000,3960000,refund,Kelurahan 49 Jakarta Timur,Jakarta Timur
2025,7,5,45843,ORD00164,Customer_1466,Kursi Bar,Ruang Makan,1295000,1,1295000,60000,1355000,completed,Kelurahan 88 Tangerang,Tangerang
2025,2,7,45695,ORD00165,Customer_2952,Lemari TV,Ruang Tamu,2300000,2,4600000,50000,4650000,completed,Kelurahan 23 Depok,Depok
2025,2,9,45697,ORD00166,Customer_12,Rak Meja,Ruang Kerja,750000,3,2250000,60000,2310000,completed,Kelurahan 123 Jakarta Utara,Jakarta Utara
2025,9,22,45922,ORD00167,Customer_322,Kitchen Set,Dapur,9500000,1,9500000,60000,9560000,completed,Kelurahan 195 Jakarta Selatan,Jakarta Selatan
